Date,Day,Atten_Total,Enrolled,Percent
9/1/2018,Saturday,8,62,12.9
9/2/2018,Sunday,8,62,12.9
9/3/2018,Monday,0,62,0
9/4/2018,Tuesday,17,63,26.98
9/5/2018,Wednesday,28,63,44.44
9/6/2018,Thursday,27,64,42.19
9/7/2018,Friday,0,64,0
9/8/2018,Saturday,9,63,14.29
9/9/2018,Sunday,17,63,26.98
9/10/2018,Monday,17,63,26.98
9/11/2018,Tuesday,20,63,31.75
9/12/2018,Wednesday,26,63,41.27
9/13/2018,Thursday,28,64,43.75
9/14/2018,Friday,0,64,0
9/15/2018,Saturday,11,64,17.19
9/16/2018,Sunday,12,64,18.75
9/17/2018,Monday,26,65,40
9/18/2018,Tuesday,23,65,35.38
9/19/2018,Wednesday,27,65,41.54
9/20/2018,Thursday,23,65,35.38
9/21/2018,Friday,0,65,0
9/22/2018,Saturday,12,65,18.46
9/23/2018,Sunday,15,65,23.08
9/24/2018,Monday,27,65,41.54
9/25/2018,Tuesday,27,67,40.3
9/26/2018,Wednesday,27,67,40.3
9/27/2018,Thursday,22,68,32.35
9/28/2018,Friday,0,68,0
9/29/2018,Saturday,9,68,13.24
9/30/2018,Sunday,20,68,29.41
10/1/2018,Monday,32,74,43.24
10/2/2018,Tuesday,29,74,39.19
10/3/2018,Wednesday,23,74,31.08
10/4/2018,Thursday,21,74,28.38
10/5/2018,Friday,0,74,0
10/6/2018,Saturday,16,74,21.62
10/7/2018,Sunday,15,74,20.27
10/8/2018,Monday,23,75,30.67
10/9/2018,Tuesday,26,75,34.67
10/10/2018,Wednesday,19,75,25.33
10/11/2018,Thursday,25,76,32.89
10/12/2018,Friday,0,76,0
10/13/2018,Saturday,16,77,20.78
10/14/2018,Sunday,18,77,23.38
10/15/2018,Monday,29,78,37.18
10/16/2018,Tuesday,28,80,35
10/17/2018,Wednesday,30,80,37.5
10/18/2018,Thursday,28,81,34.57
10/19/2018,Friday,14,81,17.28
10/20/2018,Saturday,0,81,0
10/21/2018,Sunday,18,82,21.95
10/22/2018,Monday,19,84,23.17
10/23/2018,Tuesday,22,84,26.83
10/24/2018,Wednesday,27,84,32.93
10/25/2018,Thursday,29,83,35.8
10/26/2018,Friday,19,83,23.46
10/27/2018,Saturday,0,83,0
10/28/2018,Sunday,22,84,26.83